X1,X2,Y
30.78521947,24.92250314,51.28203876
15.79655555,19.62462122,30.02030596
23.98078111,26.36733004,28.73063841
22.73115102,24.29383624,43.49922969
18.59753681,13.8812251,30.67184239
18.7983591,33.2437983,34.35422342
25.63462299,20.43677245,35.38292634
17.40248872,25.70469468,24.74999179
28.34585843,21.9407977,39.45835102
18.61376865,25.99895798,26.79025354
17.93591689,31.47503264,37.53793204
19.82712801,28.41597725,40.43189121
24.089784,21.78846516,20.50497092
22.40445234,21.55858879,36.99423264
17.40413376,30.64621693,33.74896203
28.45638165,33.56183842,33.82923311
27.71582806,31.65945385,36.23876529
13.75862257,24.79232173,24.69775127
25.17020275,19.50604576,28.82682594
29.41035077,28.70817196,33.45717701
16.07548923,26.49036316,36.35140582
30.79447019,28.19683422,24.24164627
16.22612711,32.5462281,30.01095453
17.22057639,29.31347529,17.66488905
25.02530893,31.9793185,26.21494811
28.73644988,23.82474275,37.01817665
23.02211303,26.27336868,34.41324096
26.35290307,37.64105526,40.85275648
19.00595224,16.25756067,25.49946103
26.97102928,37.04750513,34.42014215
12.61203332,20.77381306,36.99195915
21.51594707,22.11478013,42.61597032
22.13738972,19.86937574,31.4902698
12.33102023,21.43167701,23.69229869
8.655672892,18.79106455,30.37154645
11.87684898,17.81646699,38.97274067
16.04140203,33.03628005,36.3333914
15.6463884,23.11456608,32.89034846
15.13501955,20.14719247,27.76656481
25.31538308,31.58585181,35.85891732
23.37795783,29.87691588,31.88904031
24.31209712,20.02875443,36.51340296
29.96803084,25.34039141,27.59821996
22.75782575,29.1640165,32.20649874
26.03184043,35.51585972,25.36124548
31.99507822,34.36482564,33.49568868
22.54173201,22.02418324,28.14273733
25.382991,30.78177325,25.81442188
19.25835044,16.69902305,19.76849367
19.68325398,23.59352388,33.55728007
29.47388248,41.37331322,39.61471028
23.02071983,29.60986935,30.52648577
22.44466447,31.70242071,32.79067215
14.82377252,24.9435341,32.72079601
15.90155179,22.51478769,16.84294018
18.43518005,19.54994555,35.44854027
23.65042219,29.61251657,28.29707107
18.1454593,22.48290349,35.37416619
22.09981906,20.47655678,15.34093065
15.68417359,33.38753859,26.89517681
14.63619845,25.73988659,32.30177957
23.55410159,28.05834445,34.91828473
21.58494853,19.27431005,39.21317785
16.74123614,25.04335745,29.14270393
17.37105323,23.79768984,30.66198847
21.87245356,22.87223578,32.74877808
20.91451958,20.4937523,47.19259819
14.99364789,20.30557089,39.73169787
14.10989521,27.18406841,29.15288222
22.0961542,33.59212934,33.13066568
20.50581543,18.66798356,33.20233096
26.62509042,26.77157533,24.77682139
28.94285668,30.52247096,35.72458345
26.80568633,22.04364746,26.4510425
23.76620522,20.08543377,24.04282405
21.69934175,26.71386142,31.91724585
22.96873112,22.16837269,36.89531658
16.90464242,21.09219063,34.02987096
15.29123009,29.2202677,31.90991118
